"Title","Writing attainment for children aged 5 to 7 by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","14/12/16"

"Ethnicity","Expected standard","Higher standard"
"All","66","13"
"Asian","69","15"
"Bangladeshi","69","14"
"Indian","77","22"
"Pakistani","63","10"
"Asian other","72","17"
"Black","69","14"
"Black African","71","15"
"Black Caribbean","64","10"
"Black other","66","12"
"Chinese","77","24"
"Mixed","68","15"
"Mixed White/Asian","73","20"
"Mixed White/Black African","69","15"
"Mixed White/Black Caribbean","61","10"
"Mixed other","69","17"
"White","65","13"
"White British","66","13"
"White Irish","68","17"
"White Irish Traveller","25","2"
"White Gypsy/Roma","20","1"
"White other","61","12"
"Other","61","12"
